,ResponseId,Country,RobotType,care_family,cook,creepy,feel_emo,friendly,like,phys_sim,plan_indep,think_hum,touch,vacuum,want_to_have,dictator_offer
132,R_1ihdGF6HzzogA5S,India,6,32.7,73.3,29.9,0,74.9,74.5,24.7,23.5,0.5,100,73.2,80.6,0.52
133,R_1ihdGF6HzzogA5S,India,7,26.9,10.9,80.8,2.4,79.6,66.8,15.5,2.8,11.5,75.9,6.8,71.4,0.48
134,R_1ihdGF6HzzogA5S,India,8,17.6,12.1,63.7,0,65,81,1.7,18.4,15.4,87.7,11.3,40.3,0.6
135,R_1ihdGF6HzzogA5S,India,9,75.2,14.6,54.7,1.9,56.3,83,16.6,53.4,23.9,100,65.1,100,0.6
136,R_1ihdGF6HzzogA5S,India,10,52.1,18.4,59.8,1.6,70.6,50.9,23.9,53.5,2.5,100,45.2,81.5,0.4
137,R_1ihdGF6HzzogA5S,India,11,35.1,24.7,36.5,10.6,72.7,75.2,73.5,3.1,4.3,87,23.5,84.6,0.4
138,R_1ihdGF6HzzogA5S,India,12,76.7,0,76,0,72.5,72.7,2.9,18.2,18.9,40.8,7.4,66,0.48
139,R_1ihdGF6HzzogA5S,India,13,51.6,2.8,33.9,8,80.2,79.1,8,6.4,2.1,100,37.7,47.7,0.24
140,R_1ihdGF6HzzogA5S,India,14,70.4,24,37.9,17.3,81.1,100,77.1,17.4,19.2,71.3,19.7,47.6,0.64
141,R_1ihdGF6HzzogA5S,India,15,53.6,73.3,52.9,4.6,70.6,79,76.3,11.7,47.3,100,55.9,100,0.6
142,R_1ihdGF6HzzogA5S,India,16,46.8,0,16.4,3.6,79.6,77.2,8.4,16.9,11.1,100,15.5,49.9,0.32
143,R_1ihdGF6HzzogA5S,India,17,52.8,0,30.7,0,79.6,68.6,0,16.1,1.7,33.2,91,77.7,0.24
144,R_1ihdGF6HzzogA5S,India,18,76.4,71.8,29.2,59.4,76.9,92.9,79.5,72.8,38.6,100,48.5,97.1,0.76
145,R_1Iis6QcKufAMkOx,India,1,100,100,0,100,100,100,0,83,75.7,100,100,100,1
146,R_1Iis6QcKufAMkOx,India,2,61.5,59.9,37.4,61.7,66.1,71.2,31.9,62.5,65.4,61.3,62.6,74.3,1
147,R_1Iis6QcKufAMkOx,India,3,61,72.5,32.2,41.8,65.4,63.3,75.1,62.2,34.3,64.5,30.7,66.2,0.2
148,R_1Iis6QcKufAMkOx,India,4,40.9,61.1,92.9,37.4,66.8,62.1,70,28.8,36.6,35.9,61.3,70,0.184
149,R_1Iis6QcKufAMkOx,India,5,60.3,63.7,37.5,42.2,64.9,57.4,54,58.3,57.4,63,60.5,62.7,1
150,R_1Iis6QcKufAMkOx,India,6,72.3,74.4,75.5,62.1,63.8,55.8,57.2,69.6,56.8,66.8,69.3,87.7,0.4
151,R_1Iis6QcKufAMkOx,India,7,66.9,58.7,80.4,35,35.4,28.4,19.4,18.6,64.6,74.7,62.5,63.9,0.08
152,R_1Iis6QcKufAMkOx,India,8,70.8,39.7,67.3,57.8,11.5,84,36.6,59.2,31.6,34.2,30.3,39.5,0
153,R_1Iis6QcKufAMkOx,India,9,68.4,73.2,34,86.3,55.9,68.4,30.2,76.9,27.1,78.6,67.2,74.4,1
154,R_1Iis6QcKufAMkOx,India,10,88.2,100,13.1,64.7,65.1,85.5,20.9,70.2,58.2,31,86.3,66.4,0.8
155,R_1Iis6QcKufAMkOx,India,11,63.9,66.9,100,60.7,33.9,32.2,58.4,53.5,57.4,63.1,56,60.1,0.008
156,R_1Iis6QcKufAMkOx,India,12,67.7,65.7,49.5,38.9,60.5,41.6,33.9,43.4,36.1,23.1,69.3,68.2,0.16
157,R_1Iis6QcKufAMkOx,India,13,65.8,65.8,74.1,68.9,60.3,71.2,27.2,65,41.2,44.2,65.4,71.6,0.04
158,R_1Iis6QcKufAMkOx,India,14,30,81.5,76.8,72.3,59.9,66.6,100,73.7,20.1,40.8,65.8,59.4,0.32
159,R_1Iis6QcKufAMkOx,India,15,56.2,36.7,97.3,60.5,21.6,75.1,75.7,78.2,86.1,0,53.2,11.1,0.02
160,R_1Iis6QcKufAMkOx,India,16,60.2,73.5,74.8,38.7,15,6.8,75.7,90.3,7.9,20,64.1,76,0
161,R_1Iis6QcKufAMkOx,India,17,89.8,73.5,89.4,84.6,100,81.8,0.7,77.6,16.5,87.4,99.5,91,0.16
162,R_1Iis6QcKufAMkOx,India,18,68.6,71.2,61.7,66,32.3,64.2,62.5,65.4,9.7,28.7,71.3,70,0.9
163,R_1ikOVoQcymJMuDs,India,1,69.4,0,15.8,53.6,74.8,100,0,63.1,0,66.6,0,88.5,0.8
164,R_1ikOVoQcymJMuDs,India,2,62.1,0,31.8,54.8,71.3,74.5,7.2,57.2,11.1,58,2.8,78.3,0.8
165,R_1ikOVoQcymJMuDs,India,3,85.8,75.9,72.5,62.7,84.7,90.6,90.2,64.6,65.8,77.7,64.7,93,1
166,R_1ikOVoQcymJMuDs,India,4,66.1,24.9,63.4,35.9,68.1,72.3,72.5,83,75.5,22.8,25.1,61.8,0.8
167,R_1ikOVoQcymJMuDs,India,5,60.1,44.9,16.6,41.6,74.9,64.9,66.8,58.8,57.9,72.3,37.4,83.1,0.6
168,R_1ikOVoQcymJMuDs,India,6,25.7,69.6,34.3,61.5,61.3,55.5,60.2,35.3,35,61.9,22.5,70.4,0.4
169,R_1ikOVoQcymJMuDs,India,7,6.3,5.4,63.5,8,0,32.3,0,25.7,0,60.2,24.7,45.3,0.2
170,R_1ikOVoQcymJMuDs,India,8,25.2,0,50.5,0,15.7,69.7,22.4,24.5,23.9,77.2,26.7,26.4,0.6
171,R_1ikOVoQcymJMuDs,India,9,25.1,6,62.6,0,34.2,63.5,0,10.5,0,70.6,0,57,0.4
172,R_1ikOVoQcymJMuDs,India,10,9.7,0,76.3,16.5,28.2,28.8,0,21.4,1.1,58.4,68.6,40.9,0.32
173,R_1ikOVoQcymJMuDs,India,11,69.4,65.3,61.8,38.9,85.4,76.9,88.3,52.5,70.4,61.7,65.8,66.5,0.6
174,R_1ikOVoQcymJMuDs,India,12,0,47.5,33.1,17,29.6,44.5,55.4,17.8,22.7,37.5,0,33.2,0.2
175,R_1ikOVoQcymJMuDs,India,13,11.9,8.7,66.4,23.3,63.3,64.5,7.6,16.9,3.2,69.4,57,77.7,0.6
176,R_1ikOVoQcymJMuDs,India,14,74.4,71,17.6,63.1,76.9,100,100,54,100,65.8,59.8,97.6,1
177,R_1ikOVoQcymJMuDs,India,15,75.1,82.8,21.8,22.9,79.1,100,100,53.8,100,64.1,28.2,100,1
178,R_1ikOVoQcymJMuDs,India,16,66.8,77.1,24.8,5.4,72.8,80,71.6,40.5,56.3,62.1,52.1,78.3,0.8
179,R_1ikOVoQcymJMuDs,India,17,19,21.6,57.9,0,60.5,40.8,0,63.1,0,78.3,100,100,1
180,R_1ikOVoQcymJMuDs,India,18,73.5,29.4,7.9,55.9,100,100,100,72.4,100,86.1,73.2,100,1
181,R_1IXICEo7xkZVQZD,India,1,25.2,23.9,55.1,0,76,25.2,0,36.3,24.1,57.9,0,62.3,0.6
182,R_1IXICEo7xkZVQZD,India,2,0,30.8,100,0,0,24.9,14.2,55.8,18.5,69,0,0,0.2
183,R_1IXICEo7xkZVQZD,India,3,100,100,1.5,0,100,100,100,75.9,77.5,100,51.5,100,0.8
184,R_1IXICEo7xkZVQZD,India,4,76.8,100,24.9,0,63.8,76.5,100,61.3,55.6,100,25.5,100,0.8
185,R_1IXICEo7xkZVQZD,India,5,66,81.5,0,0,79.4,100,76.9,64.2,47.9,100,44.9,100,0.8
186,R_1IXICEo7xkZVQZD,India,6,47.2,78.6,23.9,0,77.7,73.1,76.4,75.3,37,100,51.7,100,1
187,R_1IXICEo7xkZVQZD,India,7,0,0,24.9,0,100,0,0,24.5,24.5,100,0,25.6,0.4
188,R_1IXICEo7xkZVQZD,India,8,11.5,7.4,77.1,0,0,24.1,0,24.3,0,57.9,7.1,42,0.2
189,R_1IXICEo7xkZVQZD,India,9,24.8,0,37.4,0,78.6,77.1,0,19,0,100,39,100,1
190,R_1IXICEo7xkZVQZD,India,10,23.3,0,53.5,0,24.7,24.3,0,25.3,0,76.4,0,62.7,0.4
191,R_1IXICEo7xkZVQZD,India,11,73.6,100,26.4,0,62.5,77.6,62.9,26.3,38.3,100,55.4,63.7,0.6
192,R_1IXICEo7xkZVQZD,India,12,0,0,68.1,0,53.4,22.9,2,27.1,0,100,0,53.4,0.4
193,R_1IXICEo7xkZVQZD,India,13,23.9,0,0.9,0,100,76.4,24.8,54.7,63.5,100,25.7,100,0.8
194,R_1IXICEo7xkZVQZD,India,14,100,100,0,0,100,100,100,64.3,61.9,100,75.3,100,1
195,R_1IXICEo7xkZVQZD,India,15,65.4,100,64.2,0,75.2,87.4,85.1,63.3,64.7,100,60.7,76.7,0.8
196,R_1IXICEo7xkZVQZD,India,16,0,0,47.6,0,62.9,60.1,23.9,23.9,0,98.1,25.2,58.3,0.6
197,R_1IXICEo7xkZVQZD,India,17,0,24.8,0,0,94.8,100,0,77.3,23.5,100,100,100,0.4
198,R_1IXICEo7xkZVQZD,India,18,100,100,1.2,0,100,100,100,61.9,91.2,100,64.7,100,1
199,R_1IYuJGzFWzG4WWr,India,1,58.8,59.9,55.8,58.3,38.6,58.2,0,54.8,0,62.3,59.9,61.7,0.48
200,R_1IYuJGzFWzG4WWr,India,2,32,75.7,40.1,60.5,69.2,10.5,0.3,61.4,0,66.2,77.2,63.3,0.4
201,R_1IYuJGzFWzG4WWr,India,3,77.1,77.1,40.2,57.4,59.2,59.1,81.8,76,62.3,100,76.1,79.2,0.88
202,R_1IYuJGzFWzG4WWr,India,4,65.8,65.3,38.1,57.4,55.2,62.3,58.8,62.5,60.5,58.8,59,62.2,0.88
203,R_1IYuJGzFWzG4WWr,India,5,46.2,54.3,46.9,46.4,44.2,46.6,47.5,27.3,47.6,54.8,51.5,53.9,0.12
204,R_1IYuJGzFWzG4WWr,India,6,75.3,75.3,59,0,39.5,58,65,45.2,60.6,100,76.4,25.6,0.48
205,R_1IYuJGzFWzG4WWr,India,7,62.2,77.6,1.1,0,9.5,39.3,0,64.1,0,79.9,74.5,64.2,0.12
